GTRK;ГТМ ао;368,5;0,22 %;368,5;368,5;368,5;368,5;55 275;09:59:53
MRKP;РСетиЦП ао;0,2945;-0,27 %;0,2945;0,2945;0,2945;0,2945;50 065;09:59:47
DIOD;ЗаводДИОД;15;-0,2 %;15;15;15;15;43 500;09:59:42
NKNC;НКНХ ао;93,7;-0,95 %;93,7;93,7;93,7;93,7;37 480;09:59:52
GCHE;ЧеркизГ-ао;4 640;0,6 %;4 640;4 640;4 640;4 640;37 120;09:59:53
RUAL;РУСАЛ ао;42,18;-0,05 %;42,18;42,18;42,18;42,2;29 104;09:59:52
BRZL;БурЗолото;2 141;0 %;2 141;2 141;2 141;2 141;27 833;09:59:44
MRKS;РсетСиб ао;0,6735;-0,3 %;0,6735;0,6735;0,6735;0,6735;26 940;09:59:52
RTKMP;Ростел -ап;77,35;0,91 %;77,35;77,35;77,35;77,35;23 205;09:59:34
TGKB;ТГК-2;0,01138;-0,44 %;0,01138;0,01138;0,01138;0,01138;22 760;09:59:46
IVAT;iИВА;290,95;-0,02 %;290,95;290,95;290,95;290,95;22 403;09:59:45
MGTSP;МГТС-4ап;1 100;-0,18 %;1 100;1 100;1 100;1 100;20 900;09:59:41
MRKZ;РСетиСЗ ао;0,08245;-1,38 %;0,08245;0,08245;0,08245;0,08245;20 613;09:59:42
ZILL;ЗИЛ ао;3 355;-1,47 %;3 355;3 355;3 355;3 355;20 130;09:59:40
LSNG;РСетиЛЭ;18,6;-0,32 %;18,6;18,6;18,6;18,6;18 600;09:59:53
TGKA;ТГК-1;0,00826;0,12 %;0,00826;0,00826;0,00826;0,00826;18 172;09:59:44
DVEC;ДЭК ао;2,994;-0,4 %;2,994;2,994;2,994;2,994;17 964;09:59:45
NKHP;НКХП ао;887;0,57 %;887;887;887;887;17 740;
MSTT;Мостотрест;187,65;0,05 %;187,65;187,65;187,65;187,65;16 889;09:59:36
AKRN;Акрон;15 578;-0,27 %;15 578;15 578;15 578;15 578;15 578;09:59:36
MSNG;+МосЭнерго;3,07;-0,55 %;3,07;3,07;3,07;3,07;15 350;09:59:33
CBOM;МКБ ао;7,625;0,34 %;7,625;7,625;7,625;7,625;15 250;09:59:51
LNZL;Лензолото;14 300;-0,14 %;14 300;14 300;14 300;14 300;14 300;09:59:36
CARM;СТГ;2,223;-0,83 %;2,223;2,223;2,223;2,223;14 227;09:59:53
CHGZ;РН-ЗапСиб;129;0,16 %;129;129;129;129;12 900;09:59:36
KZOS;ОргСинт ао;105,6;-0,19 %;105,6;105,6;105,6;105,6;12 672;09:59:44
KBSB;ТНСэКубань;471,5;0 %;471,5;471,5;471,5;471,5;9 430;09:59:33
MRKU;Россети Ур;0,47;0,86 %;0,47;0,47;0,47;0,47;9 400;09:59:34
TORS;ТРК ао;0,82;1,49 %;0,82;0,82;0,82;0,82;8 200;09:59:42
ROLO;Русолово;0,9694;-0,02 %;0,9694;0,9694;0,9694;0,9694;6 786;09:59:38
IGSTP;Ижсталь ап;6 760;0,6 %;6 760;6 760;6 760;6 760;6 760;09:59:42
PMSB;ПермьЭнСб;212;-0,33 %;212;212;212;212;6 360;09:59:39
BANE;Башнефт ао;3 122;0 %;3 122;3 122;3 122;3 122;6 244;09:59:42
CNTLP;Телеграф-п;10,04;0 %;10,04;10,04;10,04;10,04;6 024;09:59:39
IRKT;Яковлев-3;59,65;-0,08 %;59,65;59,65;59,65;59,65;5 965;09:59:31
BSPBP;БСП ап;53,25;-0,09 %;53,25;53,25;53,25;53,25;5 325;09:59:47
LNZLP;Лензол. ап;2 540;0,99 %;2 540;2 540;2 540;2 540;5 080;09:59:49
RENI;Ренессанс;97,42;0 %;97,42;97,42;97,42;97,42;4 871;09:59:36
USBN;УралСиб ао;0,1939;-0,82 %;0,1939;0,1939;0,1939;0,1939;3 878;09:59:38
UPRO;Юнипро ао;1,913;0 %;1,913;1,913;1,913;1,913;3 826;09:59:41
DZRDP;ДонскЗР п;3 320;0,3 %;3 320;3 320;3 320;3 320;3 320;09:59:48
STSB;СтаврЭнСб;3,055;-0,16 %;3,055;3,055;3,055;3,055;3 055;09:59:39
STSBP;СтаврЭнСбп;3,02;0 %;3,02;3,02;3,02;3,02;3 020;
ENPG;ЭН+ГРУП ао;424;0,09 %;424;424;424;424;2 968;09:59:44
KZOSP;ОргСинт ап;24,4;-0,29 %;24,4;24,4;24,4;24,4;2 440;09:59:41
MGKL;МГКЛ;2,4125;-0,02 %;2,4125;2,4125;2,4125;2,4125;2 413;09:59:54
UNAC;iАвиастКао;0,795;0,25 %;0,795;0,795;0,795;0,795;2 385;09:59:44
DSKY;ДетскийМир;46,24;-0,34 %;46,24;46,24;46,24;46,24;1 850;09:59:50
UWGN;ОВК ао;42,4;0 %;42,4;42,4;42,4;42,4;1 611;09:59:46
MRKY;РоссЮг ао;0,07735;0,85 %;0,07735;0,07735;0,07735;0,07735;1 547;09:59:48
SVETP;Светофор п;54,8;-0,18 %;54,8;54,8;54,8;54,8;1 315;09:59:54
ELMT;Элемент;0,1951;0,1 %;0,1951;0,1951;0,1951;0,1951;1 171;09:59:53
ABIO;iАРТГЕН ао;92,56;0 %;92,56;92,56;92,56;92,56;926;09:59:47
MVID;М.видео;163,8;0 %;163,8;163,8;163,8;163,8;819;09:59:52
GEMC;МКПАО ЮМГ;738,9;-0,15 %;738,9;738,9;738,9;738,9;739;09:59:33
SVET;Светофор;24,2;0 %;24,2;24,2;24,2;24,2;411;09:59:32
EELT;ЕвроЭлтех;19,22;0,31 %;19,22;19,22;19,22;19,22;192;09:59:50
PAZA;ПавлАвт ао;-;0 %;-;-;-;-;-;09:58:58
LIFE;Фармсинтез;-;0 %;-;-;-;-;-;09:59:34
GAZAP;ГАЗ ап;-;0 %;-;-;-;-;-;09:59:47
GAZA;ГАЗ ао;-;0 %;-;-;-;-;-;09:59:47
ZVEZ;ЗВЕЗДА ао;-;0 %;-;-;-;-;-;09:59:52
ZAYM;Займер ао;-;0 %;-;-;-;-;-;09:59:53
YRSBP;ТНСэнЯр-п;-;0 %;-;-;-;-;-;09:59:52
YRSB;ТНСэнЯр;-;0 %;-;-;-;-;-;09:58:58
YNDX;Yandex clA;-;0 %;-;-;-;-;-;09:59:44
YKENP;Якутскэн-п;-;0 %;-;-;-;-;-;09:59:41
YKEN;Якутскэнрг;-;0 %;-;-;-;-;-;
YAKG;ЯТЭК ао;-;0 %;-;-;-;-;-;09:59:38
WTCMP;ЦМТ ап;-;0 %;-;-;-;-;-;09:59:41
WTCM;ЦМТ ао;-;0 %;-;-;-;-;-;09:59:41
VSYDP;ВыбСудЗ ап;-;0 %;-;-;-;-;-;09:59:50
VSYD;ВыбСудЗ ао;-;0 %;-;-;-;-;-;09:59:42
VSMO;ВСМПО-АВСМ;-;0 %;-;-;-;-;-;09:59:42
VRSBP;ТНСэнВор-п;-;0 %;-;-;-;-;-;09:59:51
